21:09:29 INFO  com.qa25.trips.tests.TestBase - Start test: mainPageCheckElementsPresentTest
21:09:32 INFO  com.qa25.trips.tests.TestBase - Test result: PASSED
21:09:32 INFO  com.qa25.trips.tests.TestBase - Stop test: mainPageCheckElementsPresentTest
21:09:32 INFO  com.qa25.trips.tests.TestBase - ======================================================
21:09:32 INFO  com.qa25.trips.tests.TestBase - Start test: sloganValidationTest
21:09:32 INFO  com.qa25.trips.tests.TestBase - Test result: PASSED
21:09:32 INFO  com.qa25.trips.tests.TestBase - Stop test: sloganValidationTest
21:09:32 INFO  com.qa25.trips.tests.TestBase - ======================================================
21:09:32 INFO  com.qa25.trips.tests.TestBase - Start test: mainPageCheckElementsDefaultValuesSetTest
21:09:34 INFO  com.qa25.trips.tests.TestBase - Test result: PASSED
21:09:34 INFO  com.qa25.trips.tests.TestBase - Stop test: mainPageCheckElementsDefaultValuesSetTest
21:09:34 INFO  com.qa25.trips.tests.TestBase - ======================================================
21:09:35 INFO  com.qa25.trips.tests.TestBase - Start test: hamburgerMenuItemsTest
21:09:40 INFO  com.qa25.trips.tests.TestBase - Test result: PASSED
21:09:40 INFO  com.qa25.trips.tests.TestBase - Stop test: hamburgerMenuItemsTest
21:09:40 INFO  com.qa25.trips.tests.TestBase - ======================================================
